type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	3	'New Zealand'	'Malaysia'	78	16.6695476	13.55288462	0.177323482	0	4	1	0	2012
1	5	'Japan'	'Japan'	361	7.76666283	7.591874423	0.176942205	1	4	1	0	2012
7	6	'Brazil'	'Brazil'	732	7.014117039	2.951104281	0.176721036	1	3	1	1	2012
1	4	'United States of America'	'Panama'	322	11.18402651	7.212215321	0.175874586	0	3	1	1	2012
4	7	'Singapore'	'China'	107	14.42084964	6.456386293	0.175618739	0	1	0	0	2012
1	3	'India'	'South Africa'	193	11.65396035	16.15651986	0.174178388	0	2	1	1	2012
4	4	'Saudi Arabia'	'United Arab Emirates'	172	14.59928951	4.93628876	0.174118155	0	3	0	1	2012
4	6	'Canada'	'Japan'	47	16.46783391	11.17553191	0.173572853	0	4	1	1	2012
7	7	'United States of America'	'Nigeria'	80	11.07585152	25.23958333	0.172964088	0	1	1	1	2012
1	3	'United States of America'	'Panama'	345	10.89064649	7.799758454	0.172695775	0	1	1	1	2012
4	2	'Japan'	'Taiwan'	507	14.2556732	3.483645628	0.172653477	0	1	1	0	2012
4	5	'United States of America'	'Russia'	52	16.86432346	12.77323718	0.172549821	0	4	1	1	2012
4	6	'Indonesia'	'China'	92	15.24294602	6.804800725	0.17238404	0	4	0	0	2012
4	6	'Spain'	'Egypt'	52	15.34171481	9.561698718	0.172174107	0	4	1	1	2012
1	2	'Australia'	'China'	161	11.59894626	16.93348861	0.172148597	0	3	1	1	2012
